	du/dx0{power: 1.0}_u	C_u	u{power: 1.0} * du/dx1{power: 1.0}_u	d^2u/dx0^2{power: 1.0}_u	u{power: 1.0}_u	du/dx0{power: 1.0} * du/dx1{power: 1.0}_u	du/dx1{power: 1.0}_u	du/dx0{power: 1.0} * u{power: 1.0}_u	d^2u/dx0^2{power: 1.0} * du/dx1{power: 1.0}_u	d^2u/dx0^2{power: 1.0} * du/dx0{power: 1.0}_u	d^2u/dx0^2{power: 1.0} * u{power: 1.0}_u
33	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
36	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
39	-1.0	-2.64581782224901e-13	-1.0000000000000018	0.0	0.0	0.0	-2.402340644083915e-12	0.0	0.0	0.0	0.0
40	-1.0000000000000027	6.314560148639597e-14	-1.0	2.3658859604814674e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
43	-3.871047693865881e-15	9.34806960460883e-14	0.0	-0.4999999999999997	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
44	-1.0	6.308228075246837e-14	-0.999999999999998	0.0	0.0	-4.807051971321761e-16	0.0	0.0	0.0	0.0	0.0
45	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
47	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	-1.0000000000000018	6.356920070764186e-14	-1.0	2.2326406339253242e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
51	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
53	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
54	-1.0000000000000018	6.356920070764186e-14	-1.0	2.2326406339253242e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
59	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
60	0.0	-6.327331737226511e-14	0.0	-0.49999999999999983	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
61	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
62	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
63	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	0.0	-6.327331737226511e-14	0.0	-0.49999999999999983	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
65	-0.9999999999999806	-2.607299969866079e-13	-1.0	0.0	0.0	0.0	0.0	-1.904683431011988e-17	0.0	0.0	0.0
66	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
67	-1.0	-2.64581782224901e-13	-1.0000000000000018	0.0	0.0	0.0	-2.402340644083915e-12	0.0	0.0	0.0	0.0
68	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
72	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
73	-0.9999999999999946	-1.2344075536414566e-13	-1.0	0.0	-1.9712023557835973e-16	0.0	0.0	0.0	0.0	0.0	0.0
74	-1.0	6.308228075246837e-14	-0.999999999999998	0.0	0.0	-4.807051971321761e-16	0.0	0.0	0.0	0.0	0.0
75	-1.0	-2.64581782224901e-13	-1.0000000000000018	0.0	0.0	0.0	-2.402340644083915e-12	0.0	0.0	0.0	0.0
76	-0.001530382148844466	-0.04542701599339862	0.0	0.0	4.7498220813139446e-05	0.0	-1.0	0.0	0.0	0.0	0.0
77	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
78	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
79	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
82	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
84	-1.0	1.5217478730022822e-14	-0.9999999999999998	0.0	0.0	0.0	0.0	0.0	-5.295167433952265e-18	0.0	0.0
85	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
87	-1.0	-2.64581782224901e-13	-1.0000000000000018	0.0	0.0	0.0	-2.402340644083915e-12	0.0	0.0	0.0	0.0
88	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
89	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
90	-1.0000000000000018	6.356920070764186e-14	-1.0	2.2326406339253242e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
